kepid,tce_plnt_num,av_training_set,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
2439211,2,AFP,,0.499972,2.04331e-05,131.62,0.00430887,0.7,2.907,1.385,1.235,70.02,16.65,6.968,2.214,1.433,4160.0,793.0,,,7338.0,320.0,3.9,0.22,2.462,0.915
2439211,1,AFP,,0.499978,1.28248e-05,131.867,0.00283486,0.3042,17.2,1.5,1.292,101.5,16.95,9.731,2.542,2.451,4160.0,793.0,,,7338.0,320.0,3.9,0.22,2.462,0.915
8760767,2,AFP,,0.500097,1.26107e-05,131.771,0.00267262,0.8948,0.5283,1.491,2.463,14.36,2.355,10.12,0.7834,0.2966,3550.0,959.0,,,7089.0,270.0,4.08,0.3,1.787,0.955
8760767,1,AFP,,0.500172,1.39237e-05,131.955,0.00228398,0.1,63.12,1.625,1.825,14.67,2.764,8.691,0.6945,0.7662,3550.0,959.0,,,7089.0,270.0,4.08,0.3,1.787,0.955
9305574,1,AFP,,0.500425,0.00257427,131.94,0.661549,0.07253,3945.0,1.811,116.6,0.08944,2.359,0.04827,0.07839,3.979,4530.0,710.0,,,7903.0,319.0,3.89,0.22,2.587,0.783
9305574,2,AFP,,0.500432,3.90396e-05,131.6,0.00730137,0.5304,3.523,1.514,0.8513,7.7,3.668,3.557,0.7487,0.3759,4530.0,710.0,,,7903.0,319.0,3.89,0.22,2.587,0.783
11618998,1,AFP,,0.500511,8.15893e-06,131.646,0.00171888,0.4999,3.911,1.615,0.8158,251.4,26.29,14.89,6.0,2.752,5130.0,883.0,,,7678.0,308.0,3.65,0.27,3.645,1.22
11618998,2,AFP,,0.500515,1.02182e-05,131.895,0.0021766,0.06018,77.16,2.046,2.448,210.2,25.88,14.5,5.344,4.419,5130.0,883.0,,,7678.0,308.0,3.65,0.27,3.645,1.22
6614168,1,AFP,,0.50061,1.02685e-05,131.742,0.0012726,0.9,0.3139,1.347,0.8926,154.1,18.17,11.71,2.53,0.6474,3660.0,1120.0,,,7488.0,310.0,4.13,0.34,1.739,1.055
6614168,2,AFP,,0.500617,1.02347e-05,131.87,0.00146735,0.3,8.561,1.5,0.5945,175.8,22.77,11.66,2.346,1.231,3660.0,1120.0,,,7488.0,310.0,4.13,0.34,1.739,1.055
6614168,3,AFP,,0.500617,0.0,131.614,0.0,0.1,0.0,1.5,0.0,132.8,0.0,-1.0,2.023,0.0,3660.0,0.0,,,7488.0,310.0,4.13,0.34,1.739,1.055
9288444,3,AFP,,0.500698,1.19643e-05,131.975,0.0018185,0.3042,9.511,1.487,0.7312,40.76,5.778,13.82,1.081,0.6025,3360.0,1230.0,,,7037.0,333.0,4.17,0.41,1.657,1.198
9288444,1,AFP,,0.500703,8.14662e-06,131.803,0.00153644,0.4928,2.563,1.538,0.509,45.47,4.534,15.12,1.16,0.3368,3360.0,1230.0,,,7037.0,333.0,4.17,0.41,1.657,1.198
4726268,2,AFP,,0.500744,2.8047e-05,131.627,0.00543636,0.3,26.29,1.503,1.959,103.1,33.92,4.778,1.435,2.244,3070.0,737.0,,,6728.0,234.0,4.22,0.27,1.385,0.658
4726268,3,AFP,,0.500744,2.34465e-05,131.783,0.00443279,0.2999,23.36,1.503,1.693,138.1,39.43,5.81,1.66,2.307,3070.0,737.0,,,6728.0,234.0,4.22,0.27,1.385,0.658
9288444,2,AFP,,0.500761,3.92403e-05,131.62,0.00579207,0.03374,638.0,1.415,3.911,22.11,9.723,4.913,0.7899,2.955,3360.0,1230.0,,,7037.0,333.0,4.17,0.41,1.657,1.198
8458690,2,AFP,,0.501181,5.19079e-06,131.608,0.000840569,0.8985,0.1314,1.518,0.4968,254.4,14.98,26.6,4.209,0.4639,4280.0,796.0,,,7848.0,301.0,3.96,0.22,2.256,0.821
8458690,1,AFP,,0.501186,6.47521e-06,131.852,0.00102666,0.6976,0.9388,1.595,0.5677,181.5,13.57,18.85,3.259,0.7752,4280.0,796.0,,,7848.0,301.0,3.96,0.22,2.256,0.821
6231451,2,AFP,,0.501316,1.22067e-05,131.893,0.00162108,0.2875,8.667,1.504,0.6173,74.22,10.79,11.24,2.175,0.9962,4310.0,873.0,,,7684.0,318.0,3.93,0.25,2.467,0.98
6231451,1,AFP,,0.501323,1.13476e-05,131.628,0.00142926,0.009896,293.0,1.515,0.6213,75.97,10.61,10.44,2.185,1.072,4310.0,873.0,,,7684.0,318.0,3.93,0.25,2.467,0.98
12356746,2,AFP,,0.501441,0.0,131.642,0.0,0.1,0.0,1.5,0.0,574.7,0.0,-1.0,2.174,0.0,2340.0,0.0,,,6134.0,172.0,4.5,0.29,0.901,0.364
4951030,1,AFP,,0.501955,0.00157148,131.734,0.225311,0.9124,1.943,1.2,7.969,0.2981,5.227,0.08228,0.1011,0.9052,3380.0,1260.0,,,7264.0,341.0,4.22,0.42,1.58,1.169
4951030,3,AFP,,0.502021,0.0,131.539,0.0,0.1,0.0,1.5,0.0,373.7,0.0,-1.0,3.106,0.0,3380.0,0.0,,,7264.0,341.0,4.22,0.42,1.58,1.169
