kepid,tce_plnt_num,av_training_set,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
1292087,2,UNK,,1.09524,1.00934e-05,132.133,0.00268501,0.2563,13.31,2.122,0.4755,34.53,4.427,10.6,0.8916,0.6361,2310.0,661.0,,,6328.0,207.0,4.15,0.29,1.502,0.852
1293031,2,UNK,,0.719273,1.38833e-05,132.227,0.00278626,0.7,1.103,1.521,0.3183,29.68,5.248,8.302,1.455,0.4296,3330.0,703.0,,,6363.0,214.0,3.8,0.35,2.489,1.036
1164109,1,UNK,,622.408,0.00854739,162.256,0.00984037,0.00319,2193.0,12.01,1.843,161.3,59.08,3.719,2.114,2.599,302.0,75.0,,,6609.0,200.0,4.11,0.28,1.654,0.816
1026032,1,UNK,,8.46044,3.82225e-07,133.774,3.81663e-05,0.9829,0.03638,4.804,0.00201,76500.0,32.61,2368.0,32.09,2.053,801.0,104.0,,,5923.0,191.0,4.64,0.18,0.704,0.178
1026032,2,UNK,,4.23022,7.32715e-07,133.998,0.000139229,0.9991,0.03854,4.606,0.006932,28810.0,93.89,1311.0,20.58,2.106,1010.0,132.0,,,5923.0,191.0,4.64,0.18,0.704,0.178
1026133,2,UNK,,2.69191,2.12826e-05,132.267,0.00465315,0.2052,16.6,5.53,1.304,40.43,3.79,11.97,1.043,0.6464,1920.0,546.0,,,7003.0,299.0,4.15,0.32,1.617,0.909
1026133,1,UNK,,1.34629,2.25304e-05,132.842,0.0118356,0.9948,0.007228,1.626,0.2712,31.94,3.69,11.52,1.364,0.4932,2420.0,688.0,,,7003.0,299.0,4.15,0.32,1.617,0.909
1028018,1,UNK,,0.614378,9.73376e-06,131.652,0.00101036,0.2898,6.551,1.448,0.251,129.3,16.15,10.86,1.554,0.671,2600.0,547.0,,,5930.0,170.0,4.14,0.26,1.353,0.565
1293031,1,UNK,,1.07861,1.27298e-05,132.563,0.0039089,0.5,2.624,3.461,1.363,26.43,3.373,9.234,1.32,0.4469,2910.0,614.0,,,6363.0,214.0,3.8,0.35,2.489,1.036
2019297,1,UNK,,3.79424,3.16585e-05,132.645,0.00512418,0.2008,16.29,6.716,1.065,46.86,5.189,10.48,1.856,1.187,2050.0,535.0,,,6489.0,215.0,3.7,0.5,2.686,1.389
2167783,1,UNK,,0.862877,8.45368e-06,132.072,0.00186201,0.9,0.3771,1.854,0.6953,220.6,26.82,11.01,2.548,0.7633,2750.0,638.0,,,6991.0,293.0,4.16,0.26,1.475,0.673
2307197,1,UNK,,449.504,0.0202024,266.033,0.0234324,0.5014,15.69,9.138,6.744,955.9,168.5,6.595,2.618,6.763,210.0,39.7,,,5523.0,166.0,4.57,0.26,0.832,0.311
2439469,1,UNK,,21.1653,0.000270907,137.638,0.0107022,0.1083,37.15,15.21,0.9415,183.0,21.85,8.8,1.581,1.223,770.0,226.0,,,6425.0,253.0,4.37,0.33,1.164,0.678
2439660,1,UNK,,0.668328,0.0806763,131.84,27.3381,0.9299,34.72,1.789,416.4,0.001231,0.824,0.001844,0.01124,3.83,4290.0,783.0,,,8230.0,354.0,3.9,0.22,2.685,0.927
2721129,1,UNK,,550.335,0.0109145,366.943,0.0124273,0.1166,20.77,11.28,2.175,2197.0,375.1,6.192,3.143,2.537,158.0,9.4,,,4620.0,175.0,4.58,0.05,0.699,0.064
