kepid,tce_plnt_num,av_training_set,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
6666233,1,PC,,0.512409,2.86573e-06,131.726,0.000398409,0.5012,1.233,1.056,0.06283,300.5,11.57,44.28,1.038,0.2708,1260.0,56.7,,,3830.0,92.0,4.68,0.04,0.589,0.045
5773121,1,PC,,0.524187,3.99927e-06,131.598,0.000617138,0.5678,1.311,1.183,0.1257,219.9,11.33,30.69,1.426,0.4216,2040.0,338.0,,,5396.0,155.0,4.49,0.23,0.93,0.303
11246161,1,PC,,0.537357,0.000107581,132.068,0.0255722,0.9,1.239,1.38,4.612,3.695,4.62,1.197,0.226,0.2815,2340.0,446.0,,,6108.0,196.0,4.47,0.27,0.997,0.375
9967771,1,PC,,0.538345,3.11563e-06,131.658,0.000592805,0.9003,0.2499,1.218,0.4004,161.0,6.327,38.98,1.391,0.3156,2240.0,454.0,,,5953.0,175.0,4.49,0.28,0.926,0.372
5340878,1,PC,,0.539914,6.94879e-06,131.554,0.00107836,0.7593,0.6911,1.133,0.2012,90.09,8.067,18.1,0.7079,0.2206,1730.0,145.0,,,5166.0,148.0,4.65,0.1,0.678,0.107
2558370,1,PC,,0.54625,3.12532e-06,131.581,0.000262002,0.8996,0.4233,1.073,0.04542,21920.0,839.8,58.71,20.45,24.03,2230.0,0.00425,,,5780.0,0.0,4.44,0.0,1.0,0.0
9472074,1,PC,,0.558848,3.98387e-06,131.575,0.000654025,0.5,2.06,1.166,0.1155,247.7,13.16,29.66,1.279,0.4983,1790.0,174.0,,,5154.0,172.0,4.59,0.14,0.798,0.145
6934291,1,PC,,0.567857,2.39128e-06,131.792,0.000340387,0.5113,1.127,0.9964,0.03201,304.0,9.689,50.37,1.299,0.2808,1720.0,153.0,,,5076.0,161.0,4.61,0.1,0.727,0.121
6690836,1,PC,,0.56887,2.50218e-06,132.053,0.000397049,0.9001,0.2,1.061,0.09341,313.0,10.52,46.7,1.705,0.3837,1800.0,219.0,,,5216.0,183.0,4.58,0.15,0.79,0.184
4055304,1,PC,,0.571038,2.18282e-06,131.654,0.00032058,0.102,12.22,1.033,0.04739,217.8,6.482,53.11,1.254,0.4434,1880.0,272.0,,,5203.0,171.0,4.51,0.19,0.865,0.244
10024051,1,PC,,0.57736,3.09067e-06,131.856,0.000489845,0.3051,4.741,1.054,0.06215,225.4,8.912,38.54,1.083,0.435,1770.0,196.0,,,5256.0,168.0,4.61,0.12,0.721,0.153
10281221,1,PC,,0.582895,2.30998e-06,131.623,0.000242167,0.1657,6.043,0.5462,0.01698,397.8,12.27,51.18,2.097,0.4193,2350.0,471.0,,,6263.0,211.0,4.46,0.28,1.009,0.399
8235924,1,PC,,0.587994,2.59432e-06,132.064,0.00043192,0.1028,11.56,1.172,0.07205,263.5,9.614,44.94,0.9419,0.3292,1270.0,45.3,,,4025.0,86.0,4.68,0.03,0.593,0.034
12069414,1,PC,,0.589435,1.44423e-05,131.834,0.00247203,0.5364,4.2,1.17,0.3055,63.91,12.05,8.595,0.6392,0.5036,1850.0,512.0,,,5286.0,226.0,4.52,0.48,0.776,0.425
12265786,1,PC,,0.597009,9.277e-06,131.72,0.00148712,0.3,14.46,1.037,0.1944,126.0,15.48,12.72,0.7074,0.9102,1580.0,120.0,,,4985.0,152.0,4.68,0.09,0.633,0.088
7749002,1,PC,,0.609907,1.06405e-05,131.818,0.00180517,0.9071,0.8384,1.008,0.5677,100.9,14.5,11.15,1.165,0.9832,2140.0,471.0,,,5936.0,204.0,4.5,0.31,0.965,0.419
11774303,1,PC,,0.61408,2.93919e-06,131.857,0.000454176,0.1475,9.396,1.136,0.04475,372.0,14.24,39.54,2.492,0.6828,2610.0,784.0,,,6517.0,284.0,4.35,0.35,1.278,0.761
5942808,2,PC,,0.626283,3.44146e-06,131.904,0.000544202,0.1,16.06,1.164,0.06638,426.0,20.83,34.31,1.653,0.8232,1710.0,725.0,,,4922.0,195.0,4.5,0.65,0.823,0.694
10975146,1,PC,,0.631328,3.64406e-06,132.054,0.000435438,0.8988,0.1793,0.735,0.03016,157.9,8.24,31.73,0.8173,0.158,1320.0,67.4,,,4441.0,142.0,4.71,0.05,0.53,0.042
7605093,1,PC,,0.633992,7.62947e-06,131.903,0.0013633,0.3293,10.26,1.162,0.1839,199.3,19.58,15.28,1.06,1.052,1720.0,199.0,,,5238.0,202.0,4.6,0.13,0.752,0.164
8558011,2,PC,,0.638144,9.23563e-06,131.764,0.00191082,0.9001,0.675,1.282,1.038,71.78,8.772,12.73,0.913,0.6722,1880.0,717.0,,,5244.0,215.0,4.45,0.47,0.888,0.675
12557548,1,PC,,0.653553,7.86882e-07,132.057,0.00010242,0.9087,0.02058,0.9589,0.02676,2885.0,35.53,127.7,4.535,0.1717,1440.0,78.9,,,4550.0,140.0,4.62,0.04,0.66,0.06
7907808,1,PC,,0.655948,7.15688e-06,132.091,0.00127884,0.4981,2.73,1.146,0.1336,63.57,6.119,16.04,1.421,0.7621,2410.0,908.0,,,4968.0,149.0,3.92,0.63,1.755,1.317
10028535,1,PC,,0.663077,3.04774e-06,131.986,0.000526028,0.7011,0.6168,1.14,0.04848,351.8,14.75,36.2,1.597,0.37,1700.0,174.0,,,5166.0,185.0,4.58,0.13,0.791,0.152
10468885,1,PC,,0.664074,5.22069e-06,132.075,0.000898622,0.7499,0.7177,1.158,0.1042,207.8,14.81,21.6,1.269,0.4183,1710.0,190.0,,,5177.0,178.0,4.58,0.15,0.802,0.17
6964929,1,PC,,0.665014,5.05283e-06,131.667,0.00126346,0.9021,0.3874,1.541,1.009,86.77,5.704,22.04,1.035,0.3736,2070.0,385.0,,,5957.0,187.0,4.51,0.27,0.937,0.343
8189801,1,PC,,0.666826,3.24106e-06,131.708,0.00043397,0.3475,3.382,0.8429,0.02621,490.1,21.46,34.83,1.245,0.4062,1180.0,99.3,,,3990.0,84.0,4.69,0.11,0.554,0.09
11600889,1,PC,,0.669322,2.59438e-06,132.12,0.000496061,0.9,0.1642,1.317,0.2378,80.05,2.779,42.72,1.085,0.1902,1980.0,163.0,,,5475.0,102.0,4.43,0.13,1.003,0.161
6294819,1,PC,,0.675609,2.72022e-05,131.736,0.00667224,0.09928,270.3,1.609,3.845,36.48,12.99,4.042,0.5793,3.335,2090.0,447.0,,,5966.0,211.0,4.49,0.3,0.961,0.406
8278371,1,PC,,0.677337,5.00813e-06,131.937,0.00132044,0.6984,0.6766,1.748,0.3289,43.97,2.936,21.01,0.7354,0.1567,2100.0,194.0,,,5718.0,117.0,4.39,0.14,1.037,0.187
5513012,1,PC,,0.679333,2.45425e-06,132.182,0.000419626,0.5003,1.227,1.237,0.04525,229.6,7.462,44.61,1.211,0.2259,1820.0,369.0,,,5596.0,155.0,4.59,0.25,0.778,0.313
3550372,1,PC,,0.681154,1.44272e-05,131.656,0.00298995,0.6946,1.999,1.379,0.4424,57.62,10.98,7.767,0.565,0.3923,1620.0,1800.0,,,5081.0,158.0,4.58,0.94,0.696,1.541
10319385,1,PC,,0.689178,6.7794e-06,131.928,0.0012604,0.34,5.139,1.146,0.1094,40.45,3.562,16.49,0.6114,0.3005,1950.0,173.0,,,5640.0,130.0,4.5,0.16,0.958,0.164
9885417,1,PC,,0.689974,2.0543e-06,131.632,0.00032019,0.7,0.2594,1.18,0.0355,94.22,2.662,52.97,0.7798,0.08165,1560.0,58.2,,,4875.0,98.0,4.6,0.05,0.747,0.047
