# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug 19 08:54:18 2024
#
# User preference: *
#
# CONSTRAINT:  where (av_training_set like '%NTP%')
#
# COLUMN kepid:          KepID
# COLUMN tce_plnt_num:   Planet Number
# COLUMN av_training_set: Autovetter Training Set Label
# COLUMN tce_rogue_flag: Rogue Flag
# COLUMN tce_period:     Orbital Period [days]
# COLUMN tce_period_err: Orbital Period Unc. [days]
# COLUMN tce_time0bk:    Transit Epoch [BKJD]
# COLUMN tce_time0bk_err: Transit Epoch Unc. [BKJD]
# COLUMN tce_impact:     Impact Parameter
# COLUMN tce_impact_err: Impact Parameter Unc.
# COLUMN tce_duration:   Transit Duration [hrs]
# COLUMN tce_duration_err: Transit Duration Unc. [hrs]
# COLUMN tce_depth:      Transit Depth [ppm]
# COLUMN tce_depth_err:  Transit Depth Unc. [ppm]
# COLUMN tce_model_snr:  Transit Signal-to-Noise (SNR)
# COLUMN tce_prad:       Planetary Radius [Earth radii]
# COLUMN tce_prad_err:   Planetary Radius Unc. [Earth radii]
# COLUMN tce_eqt:        Equilibrium Temperature [K]
# COLUMN tce_eqt_err:    Equilibrium Temperature Unc. [K]
# COLUMN tce_insol:      Insolation Flux [Earth flux]
# COLUMN tce_insol_err:  Insolation Flux [Earth flux]
# COLUMN tce_steff:      Stellar Effective Temperature [K]
# COLUMN tce_steff_err:  Stellar Effective Temperature Unc. [K]
# COLUMN tce_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN tce_slogg_err:  Stellar Surface Gravity Unc. [log10(cm/s**2)]
# COLUMN tce_sradius:    Stellar Radius [Solar radii]
# COLUMN tce_sradius_err: Stellar Radius Unc. [Solar radii]
#
kepid,tce_plnt_num,av_training_set,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
892667,1,NTP,,2.262110,2.726600000e-05,132.171,6.531110000e-03,3.0000000e-01,1.0610000e+01,7.5090,5.1980000e+00,2.9410000e+01,3.40300e+00,9.2390000e+00,0.9107000,5.8360000e-01,1.96e+03,4.860000e+02,,,6609.00,236.00,4.11,0.28,1.654,0.811
1292087,1,NTP,,0.547626,2.340840000e-05,131.888,4.088430000e-03,4.1560000e-01,5.7700000e+00,1.4080,5.4330000e-01,1.4140000e+01,4.04900e+00,5.2180000e+00,0.5786000,3.3390000e-01,2.91e+03,8.320000e+02,,,6328.00,207.00,4.15,0.29,1.502,0.852
1574792,1,NTP,,1.391750,1.488460000e-05,131.572,4.111450000e-03,5.0770000e-01,2.1960000e+00,3.3300,6.2770000e-01,2.2040000e+01,3.08000e+00,8.1240000e+00,0.8991000,2.4550000e-01,2.47e+03,5.890000e+02,,,6793.00,251.00,4.05,0.27,1.848,0.871
1865567,1,NTP,,0.674634,1.044420000e-05,131.702,3.590520000e-03,9.0000000e-01,3.8640000e-01,2.1600,3.4770000e+00,4.7700000e+00,5.83400e-01,1.0120000e+01,0.5050000,1.1410000e-01,4.42e+03,1.520000e+03,,,9990.00,451.00,4.20,0.37,2.017,1.377
2019227,1,NTP,,2.980320,3.382960000e-05,132.415,6.649580000e-03,8.9890000e-01,1.8230000e-01,8.0300,3.8580000e+00,2.3090000e+01,2.57400e+00,8.9740000e+00,0.8020000,1.2750000e-01,1.63e+03,4.560000e+02,,,6404.00,208.00,4.20,0.30,1.428,0.793
2167600,1,NTP,,1.691460,2.999230000e-05,132.463,1.335400000e-02,9.9730000e-01,1.8720000e-02,2.2320,5.3710000e-01,6.0830000e+01,4.86600e+00,1.3290000e+01,2.1350000,1.8260000e+00,2.04e+03,5.580000e+02,,,6452.00,203.00,4.15,0.29,1.512,0.820
2693097,1,NTP,,1.413520,1.512030000e-05,132.125,2.897890000e-03,4.9550000e-01,3.0930000e+00,4.8220,2.3840000e+00,5.5950000e+01,9.63900e+00,7.0390000e+00,1.2940000,4.5970000e-01,2.38e+03,8.870000e+02,,,7032.00,282.00,4.18,0.42,1.671,1.241
2693097,2,NTP,,4.240470,1.701270000e-05,132.840,2.467200000e-03,7.0260000e-01,6.8200000e-01,7.3120,3.4150000e-01,1.6410000e+02,1.42100e+01,1.2400000e+01,2.2930000,3.8720000e-01,1.65e+03,6.150000e+02,,,7032.00,282.00,4.18,0.42,1.671,1.241
2693097,3,NTP,,2.827070,1.736550000e-05,132.827,3.210420000e-03,7.2330000e-01,6.5530000e-01,8.7680,2.4860000e+00,1.2400000e+02,1.37100e+01,1.0320000e+01,2.0040000,3.6140000e-01,1.89e+03,7.040000e+02,,,7032.00,282.00,4.18,0.42,1.671,1.241
2722074,1,NTP,,1.938590,2.063960000e-05,131.790,5.733270000e-03,2.5120000e-01,1.5960000e+01,7.1680,7.3120000e+00,4.1900000e+01,4.26900e+00,1.0720000e+01,0.6293000,5.0800000e-01,1.57e+03,3.320000e+02,,,6347.00,207.00,4.48,0.30,0.962,0.402
2987660,2,NTP,,0.904939,1.383000000e-05,132.327,6.082800000e-03,7.4540000e-02,9.0640000e+01,5.1930,1.9030000e+01,1.2510000e+02,1.88200e+01,9.1650000e+00,4.2450000,5.0760000e+00,4.20e+03,7.430000e+02,,,7524.00,300.00,3.61,0.27,3.755,1.293
2439798,1,NTP,,459.313000,1.164140000e-02,260.216,1.116170000e-02,6.9510000e-01,9.9610000e+00,2.5870,2.3080000e+00,2.5690000e+02,5.44200e+01,6.6840000e+00,2.6470000,6.9260000e+00,3.05e+02,8.860000e+01,,,6253.00,188.00,4.17,0.32,1.545,0.892
2974858,1,NTP,,0.996298,2.068470000e-05,131.835,5.897930000e-03,2.5210000e-02,3.5350000e+02,3.8030,7.9040000e+00,7.4760000e+01,1.87800e+01,5.0560000e+00,1.4600000,2.2560000e+00,2.67e+03,9.960000e+02,,,7032.00,325.00,4.18,0.42,1.671,1.238
2714955,1,NTP,,0.982769,1.196310000e-05,132.080,5.068270000e-03,2.3700000e-03,2.8950000e+03,5.3150,1.7580000e+01,7.3820000e+01,8.33500e+00,1.0150000e+01,0.9166000,1.2390000e+00,2.03e+03,4.860000e+02,,,6225.00,223.00,4.40,0.30,1.066,0.505
2988768,1,NTP,,459.312000,5.902020000e-03,260.216,8.437770000e-03,9.8480000e-01,1.7900000e-01,3.7970,6.9070000e-01,1.1060000e+03,1.82400e+02,8.0520000e+00,6.8840000,1.4580000e+01,2.90e+02,7.450000e+01,,,6243.00,205.00,4.22,0.26,1.303,0.664
1867630,1,NTP,,1.389530,6.460640000e-05,131.995,1.976910000e-02,7.8830000e-01,4.0790000e+00,6.1440,4.4990000e+01,5.7040000e+00,1.50500e+00,4.1780000e+00,0.3314000,4.9470000e-01,2.01e+03,4.420000e+02,,,6347.00,199.00,4.24,0.24,1.262,0.548
2019477,4,NTP,,3.022130,5.745100000e-05,134.327,1.259890000e-02,3.3910000e-01,1.4110000e+01,9.0400,8.1700000e+00,2.3670000e+01,3.07800e+00,8.8300000e+00,0.4069000,4.9430000e-01,1.16e+03,4.370000e+02,,,5529.00,179.00,4.46,0.46,0.834,0.627
2578811,1,NTP,,6.209720,3.086290000e-05,135.254,3.700190000e-03,7.6670000e-01,6.4860000e-01,2.7680,1.3140000e-01,4.2230000e+01,4.01100e+00,1.0980000e+01,0.3444000,9.5890000e-02,4.95e+02,7.930000e+01,,,3685.00,139.00,4.76,0.13,0.485,0.151
2578891,1,NTP,,2.327280,1.310930000e-05,132.235,3.035940000e-03,3.5920000e-01,4.6730000e+00,3.1820,1.9230000e-01,4.8110000e+01,4.09900e+00,1.2770000e+01,1.1180000,3.9020000e-01,1.93e+03,5.690000e+02,,,6767.00,247.00,4.17,0.33,1.579,0.925
2854948,1,NTP,,0.974299,3.117550000e-06,132.386,4.652910000e-04,6.7480000e-01,8.9960000e-01,0.9358,9.3410000e-02,1.2020000e+03,5.85700e+01,3.5040000e+01,2.9720000,7.3250000e-01,1.66e+03,3.590000e+02,,,5695.00,191.00,4.57,0.28,0.799,0.342
2854953,2,NTP,,1.724800,1.805510000e-05,133.144,5.227810000e-03,9.0170000e-01,5.0230000e-01,3.7160,3.1170000e+00,2.8740000e+01,3.16400e+00,1.0430000e+01,1.0770000,4.1650000e-01,2.39e+03,7.430000e+02,,,7392.00,322.00,4.14,0.35,1.726,1.064
1295289,1,NTP,,459.319000,1.153730000e-02,260.207,1.834090000e-02,8.6790000e-01,3.7490000e-01,3.9500,1.5250000e+00,1.8360000e+03,4.52600e+02,4.9480000e+00,3.9670000,1.5650000e+00,1.88e+02,1.500000e+01,,,5068.00,175.00,4.58,0.10,0.785,0.113
2168333,2,NTP,,0.629072,6.568760000e-06,131.733,3.648330000e-03,9.8450000e-01,3.2640000e-03,1.1640,5.6450000e-02,1.3290000e+02,1.01300e+01,1.8790000e+01,4.7930000,2.2170000e-01,4.75e+03,7.910000e+02,,,8363.00,358.00,3.80,0.26,3.149,1.013
2308603,1,NTP,,459.313000,1.093010000e-02,260.213,1.580790000e-02,9.9990000e-01,4.6640000e-01,6.1180,2.3600000e+00,1.6200000e+03,1.16600e+03,7.3790000e+00,12.1300000,5.7370000e+01,2.68e+02,9.470000e+01,,,5249.00,185.00,4.04,0.44,1.523,1.073
2282763,1,NTP,,1.053440,4.837910000e-05,131.592,7.872250000e-03,9.0440000e-01,6.5310000e-01,3.1900,8.0060000e+00,1.6970000e+01,8.01400e+00,2.3180000e+00,1.5760000,8.8920000e-01,3.99e+03,7.240000e+02,,,8014.00,318.00,3.72,0.30,3.274,1.160
2282763,2,NTP,,0.688266,1.156270000e-05,131.723,1.586690000e-03,6.9530000e-01,8.2580000e-01,1.5980,2.6970000e-01,7.1050000e+01,1.08400e+01,9.3650000e+00,2.9600000,6.1180000e-01,4.59e+03,8.340000e+02,,,8014.00,318.00,3.72,0.30,3.274,1.160
2282763,3,NTP,,3.761670,2.346610000e-05,133.821,3.293210000e-03,8.5220000e-02,6.0950000e+01,2.7660,1.7930000e-01,1.4640000e+02,2.31100e+01,6.6760000e+00,4.0020000,3.7130000e+00,2.61e+03,4.730000e+02,,,8014.00,318.00,3.72,0.30,3.274,1.160
2308957,1,NTP,,1.109820,0.000000000e+00,132.165,0.000000000e+00,1.0000000e-01,0.0000000e+00,3.5000,0.0000000e+00,1.5860000e+05,0.00000e+00,-1.0000000e+00,43.5400000,0.0000000e+00,1.91e+03,0.000000e+00,,,5947.00,176.00,4.34,0.23,1.087,0.373
2309568,1,NTP,,373.850000,8.361590000e-03,430.816,1.703380000e-02,6.1460000e-01,2.1850000e+00,12.1800,1.9100000e+00,5.6460000e+02,8.34100e+01,6.5630000e+00,2.8620000,1.2050000e+00,2.94e+02,7.810000e+01,,,6432.00,249.00,4.38,0.31,1.147,0.602
