# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug 19 08:51:30 2024
#
# User preference: *
#
# CONSTRAINT:  where (tce_period_str < 30
# CONSTRAINT:  and av_training_set like '%PC%')
#
# COLUMN kepid:          KepID
# COLUMN tce_plnt_num:   Planet Number
# COLUMN av_training_set: Autovetter Training Set Label
# COLUMN tce_rogue_flag: Rogue Flag
# COLUMN tce_period:     Orbital Period [days]
# COLUMN tce_period_err: Orbital Period Unc. [days]
# COLUMN tce_time0bk:    Transit Epoch [BKJD]
# COLUMN tce_time0bk_err: Transit Epoch Unc. [BKJD]
# COLUMN tce_impact:     Impact Parameter
# COLUMN tce_impact_err: Impact Parameter Unc.
# COLUMN tce_duration:   Transit Duration [hrs]
# COLUMN tce_duration_err: Transit Duration Unc. [hrs]
# COLUMN tce_depth:      Transit Depth [ppm]
# COLUMN tce_depth_err:  Transit Depth Unc. [ppm]
# COLUMN tce_model_snr:  Transit Signal-to-Noise (SNR)
# COLUMN tce_prad:       Planetary Radius [Earth radii]
# COLUMN tce_prad_err:   Planetary Radius Unc. [Earth radii]
# COLUMN tce_eqt:        Equilibrium Temperature [K]
# COLUMN tce_eqt_err:    Equilibrium Temperature Unc. [K]
# COLUMN tce_insol:      Insolation Flux [Earth flux]
# COLUMN tce_insol_err:  Insolation Flux [Earth flux]
# COLUMN tce_steff:      Stellar Effective Temperature [K]
# COLUMN tce_steff_err:  Stellar Effective Temperature Unc. [K]
# COLUMN tce_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN tce_slogg_err:  Stellar Surface Gravity Unc. [log10(cm/s**2)]
# COLUMN tce_sradius:    Stellar Radius [Solar radii]
# COLUMN tce_sradius_err: Stellar Radius Unc. [Solar radii]
#
kepid,tce_plnt_num,av_training_set,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
6666233,1,PC,,0.512409,2.865730000e-06,131.726,3.984090000e-04,5.0120000e-01,1.2330000e+00,1.0560,6.2830000e-02,3.0050000e+02,1.15700e+01,4.4280000e+01,1.0380000,2.7080000e-01,1.26e+03,5.670000e+01,,,3830.00,92.00,4.68,0.04,0.589,0.045
5773121,1,PC,,0.524187,3.999270000e-06,131.598,6.171380000e-04,5.6780000e-01,1.3110000e+00,1.1830,1.2570000e-01,2.1990000e+02,1.13300e+01,3.0690000e+01,1.4260000,4.2160000e-01,2.04e+03,3.380000e+02,,,5396.00,155.00,4.49,0.23,0.930,0.303
11246161,1,PC,,0.537357,1.075810000e-04,132.068,2.557220000e-02,9.0000000e-01,1.2390000e+00,1.3800,4.6120000e+00,3.6950000e+00,4.62000e+00,1.1970000e+00,0.2260000,2.8150000e-01,2.34e+03,4.460000e+02,,,6108.00,196.00,4.47,0.27,0.997,0.375
9967771,1,PC,,0.538345,3.115630000e-06,131.658,5.928050000e-04,9.0030000e-01,2.4990000e-01,1.2180,4.0040000e-01,1.6100000e+02,6.32700e+00,3.8980000e+01,1.3910000,3.1560000e-01,2.24e+03,4.540000e+02,,,5953.00,175.00,4.49,0.28,0.926,0.372
5340878,1,PC,,0.539914,6.948790000e-06,131.554,1.078360000e-03,7.5930000e-01,6.9110000e-01,1.1330,2.0120000e-01,9.0090000e+01,8.06700e+00,1.8100000e+01,0.7079000,2.2060000e-01,1.73e+03,1.450000e+02,,,5166.00,148.00,4.65,0.10,0.678,0.107
2558370,1,PC,,0.546250,3.125320000e-06,131.581,2.620020000e-04,8.9960000e-01,4.2330000e-01,1.0730,4.5420000e-02,2.1920000e+04,8.39800e+02,5.8710000e+01,20.4500000,2.4030000e+01,2.23e+03,4.250000e-03,,,5780.00,0.00,4.44,0.00,1.000,0.000
9472074,1,PC,,0.558848,3.983870000e-06,131.575,6.540250000e-04,5.0000000e-01,2.0600000e+00,1.1660,1.1550000e-01,2.4770000e+02,1.31600e+01,2.9660000e+01,1.2790000,4.9830000e-01,1.79e+03,1.740000e+02,,,5154.00,172.00,4.59,0.14,0.798,0.145
6934291,1,PC,,0.567857,2.391280000e-06,131.792,3.403870000e-04,5.1130000e-01,1.1270000e+00,0.9964,3.2010000e-02,3.0400000e+02,9.68900e+00,5.0370000e+01,1.2990000,2.8080000e-01,1.72e+03,1.530000e+02,,,5076.00,161.00,4.61,0.10,0.727,0.121
6690836,1,PC,,0.568870,2.502180000e-06,132.053,3.970490000e-04,9.0010000e-01,2.0000000e-01,1.0610,9.3410000e-02,3.1300000e+02,1.05200e+01,4.6700000e+01,1.7050000,3.8370000e-01,1.80e+03,2.190000e+02,,,5216.00,183.00,4.58,0.15,0.790,0.184
4055304,1,PC,,0.571038,2.182820000e-06,131.654,3.205800000e-04,1.0200000e-01,1.2220000e+01,1.0330,4.7390000e-02,2.1780000e+02,6.48200e+00,5.3110000e+01,1.2540000,4.4340000e-01,1.88e+03,2.720000e+02,,,5203.00,171.00,4.51,0.19,0.865,0.244
