# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug 19 08:54:57 2024
#
# User preference: *
#
# CONSTRAINT:  where (av_training_set like '%UNK%')
#
# COLUMN kepid:          KepID
# COLUMN tce_plnt_num:   Planet Number
# COLUMN av_training_set: Autovetter Training Set Label
# COLUMN tce_rogue_flag: Rogue Flag
# COLUMN tce_period:     Orbital Period [days]
# COLUMN tce_period_err: Orbital Period Unc. [days]
# COLUMN tce_time0bk:    Transit Epoch [BKJD]
# COLUMN tce_time0bk_err: Transit Epoch Unc. [BKJD]
# COLUMN tce_impact:     Impact Parameter
# COLUMN tce_impact_err: Impact Parameter Unc.
# COLUMN tce_duration:   Transit Duration [hrs]
# COLUMN tce_duration_err: Transit Duration Unc. [hrs]
# COLUMN tce_depth:      Transit Depth [ppm]
# COLUMN tce_depth_err:  Transit Depth Unc. [ppm]
# COLUMN tce_model_snr:  Transit Signal-to-Noise (SNR)
# COLUMN tce_prad:       Planetary Radius [Earth radii]
# COLUMN tce_prad_err:   Planetary Radius Unc. [Earth radii]
# COLUMN tce_eqt:        Equilibrium Temperature [K]
# COLUMN tce_eqt_err:    Equilibrium Temperature Unc. [K]
# COLUMN tce_insol:      Insolation Flux [Earth flux]
# COLUMN tce_insol_err:  Insolation Flux [Earth flux]
# COLUMN tce_steff:      Stellar Effective Temperature [K]
# COLUMN tce_steff_err:  Stellar Effective Temperature Unc. [K]
# COLUMN tce_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN tce_slogg_err:  Stellar Surface Gravity Unc. [log10(cm/s**2)]
# COLUMN tce_sradius:    Stellar Radius [Solar radii]
# COLUMN tce_sradius_err: Stellar Radius Unc. [Solar radii]
#
kepid,tce_plnt_num,av_training_set,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
1292087,2,UNK,,1.095240,1.009340000e-05,132.133,2.685010000e-03,2.5630000e-01,1.3310000e+01,2.1220,4.7550000e-01,3.4530000e+01,4.42700e+00,1.0600000e+01,0.8916000,6.3610000e-01,2.31e+03,6.610000e+02,,,6328.00,207.00,4.15,0.29,1.502,0.852
1293031,2,UNK,,0.719273,1.388330000e-05,132.227,2.786260000e-03,7.0000000e-01,1.1030000e+00,1.5210,3.1830000e-01,2.9680000e+01,5.24800e+00,8.3020000e+00,1.4550000,4.2960000e-01,3.33e+03,7.030000e+02,,,6363.00,214.00,3.80,0.35,2.489,1.036
1164109,1,UNK,,622.408000,8.547390000e-03,162.256,9.840370000e-03,3.1900000e-03,2.1930000e+03,12.0100,1.8430000e+00,1.6130000e+02,5.90800e+01,3.7190000e+00,2.1140000,2.5990000e+00,3.02e+02,7.500000e+01,,,6609.00,200.00,4.11,0.28,1.654,0.816
1026032,1,UNK,,8.460440,3.822250000e-07,133.774,3.816630000e-05,9.8290000e-01,3.6380000e-02,4.8040,2.0100000e-03,7.6500000e+04,3.26100e+01,2.3680000e+03,32.0900000,2.0530000e+00,8.01e+02,1.040000e+02,,,5923.00,191.00,4.64,0.18,0.704,0.178
1026032,2,UNK,,4.230220,7.327150000e-07,133.998,1.392290000e-04,9.9910000e-01,3.8540000e-02,4.6060,6.9320000e-03,2.8810000e+04,9.38900e+01,1.3110000e+03,20.5800000,2.1060000e+00,1.01e+03,1.320000e+02,,,5923.00,191.00,4.64,0.18,0.704,0.178
1026133,2,UNK,,2.691910,2.128260000e-05,132.267,4.653150000e-03,2.0520000e-01,1.6600000e+01,5.5300,1.3040000e+00,4.0430000e+01,3.79000e+00,1.1970000e+01,1.0430000,6.4640000e-01,1.92e+03,5.460000e+02,,,7003.00,299.00,4.15,0.32,1.617,0.909
1026133,1,UNK,,1.346290,2.253040000e-05,132.842,1.183560000e-02,9.9480000e-01,7.2280000e-03,1.6260,2.7120000e-01,3.1940000e+01,3.69000e+00,1.1520000e+01,1.3640000,4.9320000e-01,2.42e+03,6.880000e+02,,,7003.00,299.00,4.15,0.32,1.617,0.909
1028018,1,UNK,,0.614378,9.733760000e-06,131.652,1.010360000e-03,2.8980000e-01,6.5510000e+00,1.4480,2.5100000e-01,1.2930000e+02,1.61500e+01,1.0860000e+01,1.5540000,6.7100000e-01,2.60e+03,5.470000e+02,,,5930.00,170.00,4.14,0.26,1.353,0.565
1162150,3,UNK,,1.284530,2.585230000e-05,132.236,1.070330000e-02,9.1040000e-01,1.3810000e-01,4.1750,2.6580000e+00,6.2760000e+01,6.31800e+00,1.0300000e+01,3.9960000,5.0410000e-01,3.78e+03,8.010000e+02,,,7090.00,308.00,3.49,0.34,4.311,1.789
1293031,1,UNK,,1.078610,1.272980000e-05,132.563,3.908900000e-03,5.0000000e-01,2.6240000e+00,3.4610,1.3630000e+00,2.6430000e+01,3.37300e+00,9.2340000e+00,1.3200000,4.4690000e-01,2.91e+03,6.140000e+02,,,6363.00,214.00,3.80,0.35,2.489,1.036
